2015-08,荷蘭,基隆市,1528731,1347
2015-08,加拿大,基隆市,1780749,650
2015-09,英國,基隆市,26292621,27030
2015-09,盧森堡,基隆市,10110816,15908
2015-09,日本,基隆市,33442835,7713
2015-09,中國,基隆市,22964429,7484
2015-09,美國,基隆市,14078150,3995
2015-09,新加坡,基隆市,9388067,2489
2015-09,愛爾蘭,基隆市,2458804,1910
2015-09,香港,基隆市,9740470,1725
2015-09,南韓,基隆市,3698730,932
2015-09,荷蘭,基隆市,1435164,1403
2015-10,英國,基隆市,26343638,26222
2015-10,盧森堡,基隆市,9852529,15277
2015-10,日本,基隆市,39009860,8314
2015-10,中國,基隆市,29765224,7913
2015-10,美國,基隆市,16575409,4234
2015-10,新加坡,基隆市,6456708,1767
2015-10,愛爾蘭,基隆市,2293808,1626
2015-10,香港,基隆市,9101261,1664
2015-10,荷蘭,基隆市,1904167,1813
2015-10,南韓,基隆市,5009422,1089
2015-11,英國,基隆市,34804423,36476
2015-11,中國,基隆市,24204905,10396
2015-11,日本,基隆市,39735782,7804
2015-11,盧森堡,基隆市,4610431,6906
2015-11,美國,基隆市,15135849,3887
2015-11,荷蘭,基隆市,3318992,3695
2015-11,新加坡,基隆市,6655776,1628
2015-11,香港,基隆市,10561250,1830
2015-11,南韓,基隆市,5173400,1044
2015-11,愛爾蘭,基隆市,1720059,635
2015-12,英國,基隆市,40978318,40027
2015-12,中國,基隆市,25560551,10250
2015-12,盧森堡,基隆市,5733624,8193
2015-12,日本,基隆市,45326119,8458
2015-12,美國,基隆市,16272800,3857
2015-12,荷蘭,基隆市,4012121,4654
2015-12,新加坡,基隆市,7147660,2023
2015-12,香港,基隆市,10670584,1844
2015-12,南韓,基隆市,4614166,1068
2015-12,愛爾蘭,基隆市,723939,695
2016-01,英國,基隆市,46841552,37416
2016-01,中國,基隆市,18164100,9677
2016-01,日本,基隆市,37964330,8628
2016-01,盧森堡,基隆市,5086732,7743
2016-01,美國,基隆市,18758366,3657
2016-01,荷蘭,基隆市,3542634,4864
2016-01,新加坡,基隆市,7537564,2360
2016-01,香港,基隆市,10452640,2005
2016-01,南韓,基隆市,5913486,1301
2016-01,愛爾蘭,基隆市,-473080,702
2016-02,英國,基隆市,41387209,38991
2016-02,盧森堡,基隆市,5133914,7733
2016-02,日本,基隆市,42910561,8201
2016-02,中國,基隆市,10910121,5560
2016-02,美國,基隆市,19003525,3514
2016-02,荷蘭,基隆市,4065314,4822
2016-02,新加坡,基隆市,7715715,2328
2016-02,香港,基隆市,9499891,2284
2016-02,南韓,基隆市,6851216,1317
2016-02,愛爾蘭,基隆市,740384,650
2016-03,英國,基隆市,42720564,38162
2016-03,中國,基隆市,27192365,10106
2016-03,日本,基隆市,41002261,8402
2016-03,盧森堡,基隆市,4668484,7132
