107.09.11,LM2,莧菜-白莧菜,104,台北二,67.4,52.1,28.2,50.4,1707
107.09.11,LN1,油菜,104,台北二,56.4,49.9,39,49,2558
107.09.11,LO1,甘藷葉,104,台北二,82.3,58.8,39.2,59.6,6782
107.09.11,LP1,芫荽,104,台北二,141.2,114.7,47.1,106.5,475
107.09.11,LP2,九層塔,104,台北二,160.6,107,69.5,110.2,1132
107.09.11,LP3,羅勒,104,台北二,200,200,200,200,3
107.09.11,LP9,芫荽-進口,104,台北二,100,96.1,95,96.7,108
107.09.11,LQ1,紅鳳菜-紅鳳菜,104,台北二,66.8,48,33.3,48.8,800
107.09.11,LT2,海菜-海帶,104,台北二,45,45,45,45,100
107.09.11,LT3,海菜-水蓮,104,台北二,145,116.9,64,111.9,311
107.09.11,LV1,巴西利,104,台北二,80,80,80,80,12
107.09.11,LX1,蕨菜-過貓,104,台北二,78,66.2,60,67.3,131
107.09.11,LX2,蕨菜-山蘇,104,台北二,130,130,130,130,57
107.09.11,LY3,豬母菜,104,台北二,10,10,10,10,10
107.09.11,LZ2,藤川七-川七葉,104,台北二,75,71.1,70,71.7,54
107.09.11,M3,楊桃-馬來亞種,104,台北二,25.7,18.3,10.3,18.2,3501
107.09.11,MA1,洋菇,104,台北二,172,118.7,95,124.6,53
107.09.11,MA2,洋菇(盒)-盒裝,104,台北二,122.9,25,16.1,42.8,776
107.09.11,MB1,草菇,104,台北二,100,97.1,80,94.3,7
107.09.11,MC1,濕木耳,104,台北二,110.9,70.6,47.5,74,933
107.09.11,MC2,濕木耳(盒)-盒裝,104,台北二,70,70,70,70,36
107.09.11,MD1,溼香菇,104,台北二,130,101.2,24.8,91.7,1319
107.09.11,ME1,金絲菇,104,台北二,43.7,39.6,36.7,39.8,1211
107.09.11,ME2,金絲菇(盒)-盒裝,104,台北二,40,15.1,9,18.9,1100
107.09.11,MF1,蠔菇-鮑魚菇,104,台北二,66,60.9,55.9,60.9,43
107.09.11,MI1,秀珍菇,104,台北二,76.1,76,74.7,75.8,231
107.09.11,MJ1,杏鮑菇,104,台北二,112.5,80.9,41,79.3,2050
107.09.11,MJ2,杏鮑菇-盒裝,104,台北二,130,130,130,130,6
107.09.11,MK1,鴻禧菇,104,台北二,232.4,122.3,12,122.3,127
107.09.11,MK2,鴻禧菇-盒裝,104,台北二,23,22.6,21,22.4,710
107.09.11,ML1,珊瑚菇,104,台北二,58,58,54.9,57.4,21
107.09.11,ML2,珊瑚菇-盒裝,104,台北二,11,11,10.5,10.9,84
107.09.11,MN1,柳松菇,104,台北二,180,106.1,105,120.7,67
107.09.11,MN2,柳松菇-盒裝,104,台北二,50,50,50,50,3
107.09.11,MX1,其他菇類-其他菇類,104,台北二,133.8,40.4,24.3,55.8,636
107.09.11,N9,李-進口,104,台北二,163.2,112.6,48.2,109.9,6995
107.09.11,O1,梨-橫山梨,104,台北二,18.9,13.2,10.1,13.7,1182
107.09.11,O2,梨-秋水梨,104,台北二,26,9.3,8,12.4,840
107.09.11,O3,梨-世紀梨,104,台北二,57,33.4,14.1,34.2,6534
107.09.11,O4,梨-新興梨,104,台北二,65.7,44.7,27.7,45.5,24902
107.09.11,O9,梨-進口,104,台北二,181.8,90.1,60.3,102.5,11450
107.09.11,OA1,鹹菜-清心,104,台北二,35,30.4,30,31.3,720
107.09.11,OA2,鹹菜-帶葉,104,台北二,25,25,25,25,740
107.09.11,OB1,雪裡紅,104,台北二,30,30,30,30,240
107.09.11,OD1,蘿蔔乾,104,台北二,30,30,30,30,40
107.09.11,OE1,醃瓜-乾,104,台北二,50,50,50,50,17
107.09.11,OE2,醃瓜-漬,104,台北二,50,50,50,50,24
107.09.11,OG1,熟筍-桂竹筍,104,台北二,15,15,15,15,40
107.09.11,OG2,熟筍-箭竹筍,104,台北二,80,80,80,80,100
107.09.11,OV,梨-蜜梨,104,台北二,49.1,30.9,20.4,32.4,1622
107.09.11,OX1,其他蔬菜,104,台北二,71.2,24.1,12.1,31.1,5120
107.09.11,P1,番石榴-珍珠芭,104,台北二,55.1,34.6,14.6,34.7,26064
107.09.11,P2,番石榴-紅心,104,台北二,19,15.8,13.6,16,221
107.09.11,P3,番石榴-帝王芭,104,台北二,62.5,23.7,11,28.9,1073
107.09.11,P5,番石榴-水晶無仔,104,台北二,17,15.6,13,15.3,87
107.09.11,Q1,蓮霧-紅蓮霧,104,台北二,383.3,349.8,212.8,329.1,153
107.09.11,R0,芒果-其他,104,台北二,200,175.7,62.1,157.9,84
107.09.11,R1,芒果-愛文,104,台北二,239.4,142.8,46.4,142.9,558
107.09.11,R4,芒果-凱特,104,台北二,81,55,21.5,53.5,1662
107.09.11,R8,芒果-芒果青,104,台北二,24,17.4,15,18.3,624
107.09.11,S1,葡萄-巨峰,104,台北二,87.3,57.3,33.7,58.6,1680
107.09.11,S49,葡萄-進口無子,104,台北二,96.9,88.8,57.6,84.1,5808
107.09.11,S9,葡萄-進口,104,台北二,681.3,309.4,59.3,333.8,6443
107.09.11,SA32,蘿蔔-矸仔,104,台北二,27.6,17.1,10,17.8,570
107.09.11,SA7,蘿蔔-甜菜根,104,台北二,20,18.7,16,18.4,100
107.09.11,SA9,蘿蔔-進口,104,台北二,28.7,23.2,18.3,23.3,18970
107.09.11,SB1,胡蘿蔔-未洗,104,台北二,21,10.3,10,12.4,330
107.09.11,SB2,胡蘿蔔-清洗,104,台北二,33.9,23.7,16.1,24.2,10603
107.09.11,SB9,胡蘿蔔-進口,104,台北二,35,35,35,35,280
107.09.11,SC1,馬鈴薯-本產,104,台北二,33,25.4,9.4,23.8,3198
107.09.11,SC9,馬鈴薯-進口,104,台北二,28,24.1,21.4,24.3,1886
107.09.11,SD1,洋蔥-本產,104,台北二,26.2,21.8,18.5,22.1,6280
107.09.11,SD9,洋蔥-進口,104,台北二,22,21,17.8,20.6,3326
107.09.11,SE1,青蔥-日蔥,104,台北二,111,85.4,62.6,86,3670
107.09.11,SE2,青蔥-北蔥,104,台北二,33.9,31.9,30,31.9,442
107.09.11,SE5,青蔥-紅蔥頭,104,台北二,50,40.4,35,41.2,164
107.09.11,SE6,青蔥-粉蔥,104,台北二,63,53,33.7,51.1,6541
107.09.11,SF1,韭菜-白頭,104,台北二,83.1,60.8,42.8,61.7,1101
107.09.11,SF2,韭菜-韭菜黃,104,台北二,160.5,143,116,141.1,200
107.09.11,SF3,韭菜-韭菜花,104,台北二,96.2,75.9,48.7,74.5,442
107.09.11,SF4,韭菜-青頭,104,台北二,56.6,50.8,35,48.8,792
107.09.11,SG2,大蒜-軟梗,104,台北二,220,145.9,51.4,141.8,267
107.09.11,SG4,大蒜-蔥蒜,104,台北二,40,40,40,40,40
107.09.11,SG5,大蒜-蒜頭,104,台北二,85,48.8,25.5,51.4,200
107.09.11,SG6,大蒜-蒜仁,104,台北二,70,70,70,70,1026
107.09.11,SG7,大蒜-蒜瓣,104,台北二,109.8,61.8,25.2,64.1,332
107.09.11,SH1,竹筍-麻竹筍,104,台北二,35,33.9,26.1,32.6,5185
107.09.11,SH2,竹筍-綠竹筍,104,台北二,114.9,57.8,33.4,64.3,1960
107.09.11,SH5,竹筍-烏殼綠,104,台北二,52.5,33.8,18.5,34.5,1520
107.09.11,SH7,竹筍-去殼,104,台北二,24.8,17.2,13,17.9,540
107.09.11,SJ1,芋-麵芋,104,台北二,13,12.6,10,12.2,108
107.09.11,SJ2,芋-檳榔心芋,104,台北二,46,32.9,23.6,33.7,2400
107.09.11,SJ3,芋-里芋,104,台北二,54.5,41.9,30,42,326
107.09.11,SJ4,芋-芋莖,104,台北二,22,20.1,20,20.5,51
